# 文本key,文本value
string,string
id,text
AShiXue_Desc,Max Load increased
Admin_ability,Клонировать способность
Admin_add_crime,Добавить значение преступления
Admin_add_time,Увеличить время
Admin_add_tongqian,Добавить монеты
Admin_add_xiuwei,Добавить информацию о кунг-фу
Admin_add_yinliang,Добавить серебро
Admin_add_zhenqi,Увеличить Ци
Admin_adventrue,Перезагрузить событие
Admin_all_argument,Разблокировать все словесные дуэли
Admin_all_neigong,Клонировать все внутреннее кунгфу
Admin_apply_identity,Добавить личность
Admin_apply_relation,Применить отношения
Admin_attitude,Добавить отношение
Admin_btn_add,Добавить
Admin_btn_apply,Применить
Admin_buff,Добавить усиление
Admin_change_gender,Изменить пол
Admin_clear_disease,Очистить все недуги
Admin_clone_ability,Клонировать все способности
Admin_clone_all_skill_entry,Клонировать все мнемоники
Admin_clone_equip,Клонировать все легендарные предметы
Admin_clone_jian_xia,Клонировать кейс с мечом
Admin_clone_skill,Клонировать все Навыки
Admin_clone_skill_entry,Советы по клонированию
Admin_cure_qili,Восстановить Кровь
Admin_destiny,Добавить карму
Admin_disease,Добавить недуг
Admin_equip,Клонировать снаряжение
Admin_fashion,Клонировать все наряды
Admin_force_adventrue,Силовое событие
Admin_hp_switch,Неуязвимый
Admin_item_all,Клонировать все предметы
Admin_item_any,Любой предмет
Admin_item_craft,Предмет ремесла
Admin_item_drug,Яд
Admin_item_food,Еда
Admin_item_material,Материал
Admin_item_neigong,Руководство по внутреннему кунг-фу
Admin_item_skill,Руководство по навыкам
Admin_item_tool,Контрапция
Admin_item_treasure,Сокровище
Admin_item_wine,Вино
Admin_join_sect,Присоединяйся к секте
Admin_list,Список NPC
Admin_neigong,Клонировать внутреннее кунгфу
Admin_neili_switch,Бесконечная энергия
Admin_open_place_tile_panel,Разблокировать земельный массив
Admin_page_Open,Открыть экран читов
Admin_page_title_1,Переключить
Admin_page_title_2,Кнопка
Admin_page_title_3,Ввод
Admin_page_title_4,Предмет
Admin_page_title_5,Другое
Admin_pokemon,Добавить питомца
Admin_random_relation,Случайный выбор отношений
Admin_reputation,Применить репутацию
Admin_skill,Клонировать навык
Admin_switch_close,Выключить
Admin_switch_open,Открыть
Admin_tansfer,Телепорт
Admin_tile_save_switch,Создать сохранение для Land Mass
Admin_unlock_argument,Разблокировать словесную дуэль
Admin_weather,Изменить погоду
Adult_Need_Day,Взрослым по-прежнему требуется {0}день
Attitude_Source_Desc_0,<AttiSource>Битва</>
Attitude_Source_Desc_1,<AttiSource>Битва</>
Attitude_Source_Desc_10,<AttiSource>Яд</>
Attitude_Source_Desc_11,<AttiSource>Комиссионное вознаграждение завершено</>
Attitude_Source_Desc_12,<AttiSource>Комиссионное поручение не завершено</>
